model,type,Dominant_Moving,Env1,Env2,Env3,Env4,Env5,Env6,Env7,Env8,Env9,Env10,Env11,Env12,Env13,Env14,Env15,Env16
799,train,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-300.0000000000068,-300.0000000000068,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,999.5,999.5,-99.9999999999986,-99.9999999999986,-99.9999999999986
799,target,False,-300.0000000000068,-99.9999999999986,-99.9999999999986,-99.9999999999986,-300.0000000000068,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99100.00000000127,-99.9999999999986,-99.9999999999986,999.5,999.5,-99.9999999999986,-99.9999999999986,999.6
806,train,False,999.6,999.6,999.6,999.6,-99.9999999999986,-99.9999999999986,-99.9999999999986,999.6,999.6,999.2,-99.9999999999986,999.5,999.5,999.5,999.5,999.6
806,target,False,999.6,999.6,999.6,999.6,-99.9999999999986,-99.9999999999986,-99.9999999999986,999.6,999.6,999.2,-99.9999999999986,999.5,999.5,999.5,999.5,999.6
807,train,False,999.6,999.6,999.6,999.6,-99.9999999999986,999.2,899.2,999.6,999.6,999.2,-99.9999999999986,999.5,999.5,999.5,999.5,999.6
807,target,False,999.6,999.6,999.6,999.6,998.6,999.2,899.2,999.6,999.6,999.2,-199.99999999999432,999.5,999.5,999.5,999.5,999.6
808,train,False,999.6,999.6,999.6,999.6,-99.9999999999986,-99.9999999999986,-99.9999999999986,999.6,999.6,999.2,-400.0000000000227,999.5,999.5,999.5,999.5,999.6
808,target,False,999.6,999.6,999.6,999.6,998.5,-99.9999999999986,-99.9999999999986,999.6,999.6,999.2,-400.0000000000227,999.5,999.5,999.5,999.5,999.6
809,train,False,999.6,999.6,999.6,999.6,998.9,-99.9999999999986,-99.9999999999986,999.6,999.6,999.2,-99.9999999999986,999.5,999.5,999.5,999.5,999.6
809,target,False,999.6,999.6,999.6,999.6,998.9,-99.9999999999986,-99.9999999999986,999.6,999.6,999.2,-99.9999999999986,999.5,999.5,999.5,999.5,999.6
810,train,False,999.6,999.6,999.6,999.6,998.8,999.1,999.1,999.6,999.6,999.2,-199.99999999999432,999.5,999.5,999.5,999.5,999.6
810,target,False,999.6,999.6,999.6,999.6,998.8,999.1,999.1,999.6,999.6,999.2,-99.9999999999986,999.5,999.5,999.5,999.5,999.6
811,train,False,999.6,999.6,999.6,999.6,-99.9999999999986,-99.9999999999986,-99.9999999999986,999.6,999.6,999.2,-99.9999999999986,999.5,999.5,999.5,999.5,999.6
811,target,False,999.6,999.6,999.6,999.6,998.8,-99.9999999999986,-99.9999999999986,999.6,999.6,999.2,-99.9999999999986,999.5,999.5,999.5,999.5,999.6
812,train,False,999.6,999.6,999.6,999.6,-99.9999999999986,-99.9999999999986,-99.9999999999986,999.6,999.6,999.2,-99.9999999999986,-99.9999999999986,-99.9999999999986,999.5,999.5,999.6
812,target,False,999.6,999.6,999.6,999.6,998.7,-99.9999999999986,-99.9999999999986,999.6,999.6,999.2,-99.9999999999986,-99.9999999999986,-99.9999999999986,999.5,999.5,999.6
813,train,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-100100.00000000132,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
813,target,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
814,train,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99500.00000000132,-99.9999999999986,-99500.00000000132,-99.9999999999986
814,target,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99500.00000000132,-99.9999999999986,-99500.00000000132,-99.9999999999986
815,train,False,-99.9999999999986,-99.9999999999986,-99500.00000000132,-99.9999999999986,-99.9999999999986,-99.9999999999986,-100100.00000000132,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
815,target,False,-99.9999999999986,-99.9999999999986,-99500.00000000132,-99.9999999999986,-99.9999999999986,-99.9999999999986,-100100.00000000132,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
816,train,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99500.00000000132,-99.9999999999986,-99500.00000000132,-99.9999999999986
