model,type,Dominant_Moving,Env1,Env2,Env3,Env4,Env5,Env6,Env7,Env8,Env9,Env10,Env11,Env12
184.0,train,True,-2.800000000000001,-0.4,-1.1,-1.3,-0.4,-0.7999999999999999,-0.6,-1.1,-0.6,-1.0,-1.0,-0.5
184.0,train,False,-99.9999999999986,957.7999999999997,996.4,963.6999999999997,998.0,982.3,996.9,944.9999999999994,-99.9999999999986,999.2,-99.9999999999986,-99.9999999999986
184.0,target,True,999.4,-0.4,-1.1,-1.7000000000000004,-0.4,-0.7999999999999999,-0.7999999999999999,-10.39999999999998,-0.6,-1.0,-1.0,-0.5
184.0,target,False,968.1999999999997,973.6,994.5,940.6999999999994,998.6,959.1999999999997,-99.9999999999986,996.0,-99.9999999999986,999.2,-99.9999999999986,-99.9999999999986
185.0,train,True,-2.800000000000001,-0.4,-1.1,-1.3,-0.4,-0.7999999999999999,-0.6,-1.1,-0.6,-1.0,-1.0,-0.5
185.0,train,False,997.0,996.9,996.5,997.0,998.4,958.7999999999997,988.1,996.9,996.6,997.1,-99.9999999999986,-99.9999999999986
185.0,target,True,-2.800000000000001,-0.4,-1.1,-1.3,-0.4,-0.7999999999999999,-0.6,-1.1,-0.6,-1.0,-1.0,-0.5
185.0,target,False,997.2,997.1,996.6,997.2,997.8,959.0999999999997,988.1,997.1,941.8999999999994,997.1,-99.9999999999986,-99.9999999999986
186.0,train,True,999.2,-0.4,-1.1,999.4,-0.4,-0.7999999999999999,-0.7999999999999999,999.4,-0.7999999999999999,-1.0,-1.0,-0.5
186.0,train,False,999.4,999.4,999.4,999.4,996.5,-99.9999999999986,-99.9999999999986,999.4,-99.9999999999986,997.1,-99.9999999999986,997.3
186.0,target,True,999.2,-0.4,-1.1,999.4,-0.4,-0.7999999999999999,-0.7999999999999999,999.4,-0.7999999999999999,-1.0,-1.0,-0.5
186.0,target,False,999.4,999.4,999.4,999.4,991.7,-99.9999999999986,-99.9999999999986,999.0,970.4,910.0000000000008,-99.9999999999986,997.2
187.0,train,True,999.0,-0.4,-1.1,-1.5000000000000002,-0.4,-0.7999999999999999,-0.7999999999999999,-1.5000000000000002,-0.6,-1.2,-1.0,-0.5
187.0,train,False,997.5,997.2,982.9,998.2,-99.9999999999986,-99.9999999999986,-99.9999999999986,998.0,997.2,-99.9999999999986,-99.9999999999986,-99.9999999999986
187.0,target,True,999.0,-0.4,-1.1,-1.5000000000000002,-0.4,-0.7999999999999999,-0.7999999999999999,-1.5000000000000002,-0.6,-1.2,-1.0,-0.5
187.0,target,False,997.5,997.2,983.3,983.7,-99.9999999999986,-99.9999999999986,-99.9999999999986,997.5,997.1,-99.9999999999986,-99.9999999999986,-99.9999999999986
188.0,train,True,999.6,-0.4,999.6,999.6,-0.4,-0.7999999999999999,-0.6,-0.8999999999999999,-0.6,-1.0,-1.0,-0.5
188.0,train,False,999.2,914.3000000000003,999.6,999.6,-99.9999999999986,-99.9999999999986,-99.9999999999986,999.0,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
188.0,target,True,999.6,-0.4,999.6,999.6,-0.4,-0.7999999999999999,-0.6,-0.8999999999999999,-0.6,-1.0,-1.0,-0.5
188.0,target,False,999.2,999.2,999.6,999.6,-99.9999999999986,991.6,-99.9999999999986,998.8,932.8999999999997,-99.9999999999986,-99.9999999999986,-99.9999999999986
194.0,train,True,999.6,-0.4,999.6,999.6,-0.4,-0.7999999999999999,-0.6,999.4,-0.6,985.8,-1.0,-0.5
194.0,train,False,999.6,999.2,999.6,999.6,959.9999999999997,-99.9999999999986,-99.9999999999986,999.6,997.3,997.2,-99.9999999999986,999.5
194.0,target,True,999.6,-0.4,999.6,999.6,-0.4,-0.7999999999999999,-0.6,999.4,-0.6,985.8,-1.0,-0.5
194.0,target,False,999.6,999.2,999.6,999.6,959.9999999999997,-99.9999999999986,-99.9999999999986,999.6,997.3,997.2,-99.9999999999986,999.5
195.0,train,True,998.9,-0.4,999.2,-1.5000000000000002,-0.4,-0.7999999999999999,-0.7999999999999999,-1.5000000000000002,-0.6,-1.2,-1.0,-0.5
195.0,train,False,998.9,991.7,994.3,-99.9999999999986,976.5,-99.9999999999986,-99.9999999999986,997.5,977.6,978.4,-99.9999999999986,-99.9999999999986
195.0,target,True,-2.800000000000001,-0.4,-1.1,-1.3,-0.4,-0.7999999999999999,-0.6,-1.1,-0.6,-1.1,-1.0,-0.5
195.0,target,False,995.4,995.2,989.2,998.9,998.5,-99.9999999999986,-99.9999999999986,992.9,999.0,996.4,-99.9999999999986,-99.9999999999986
196.0,train,True,-2.800000000000001,-0.4,-1.8000000000000005,-1.1,-0.4,-0.7999999999999999,-0.7999999999999999,999.1,-0.6,-1.8000000000000005,-1.0,-0.5
196.0,train,False,997.4,979.6,997.2,993.6,996.7,996.4,981.8,997.5,-99.9999999999986,963.5999999999997,-99.9999999999986,999.3
196.0,target,True,-2.800000000000001,-0.4,-1.8000000000000005,-1.1,-0.4,-0.7999999999999999,-0.7999999999999999,999.1,-0.6,-1.8000000000000005,-1.0,-0.5
196.0,target,False,997.4,935.9999999999992,991.3,999.2,995.5,994.6,995.3,996.0,935.0999999999992,962.2999999999997,-99.9999999999986,999.3
197.0,train,True,999.6,-0.4,999.6,999.6,-0.4,-0.7999999999999999,-0.6,999.4,999.6,999.2,-1.0,-0.5
