model,type,Dominant_Moving,Env1,Env2,Env3,Env4,Env5,Env6,Env7,Env8,Env9,Env10,Env11,Env12
184.0,train,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
184.0,train,False,999.0,421.0,35.0,362.0,19.0,176.0,30.0,549.0,999.0,7.0,999.0,999.0
184.0,target,True,5.0,3.0,10.0,16.0,3.0,7.0,7.0,103.0,5.0,9.0,9.0,4.0
184.0,target,False,317.0,263.0,54.0,592.0,13.0,407.0,999.0,39.0,999.0,7.0,999.0,999.0
185.0,train,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
185.0,train,False,29.0,30.0,34.0,29.0,15.0,411.0,118.0,30.0,33.0,28.0,999.0,999.0
185.0,target,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,10.0,5.0,9.0,9.0,4.0
185.0,target,False,27.0,28.0,33.0,27.0,21.0,408.0,118.0,28.0,580.0,28.0,999.0,999.0
186.0,train,True,7.0,3.0,10.0,5.0,3.0,7.0,7.0,5.0,7.0,9.0,9.0,4.0
186.0,train,False,5.0,5.0,5.0,5.0,34.0,999.0,999.0,5.0,999.0,28.0,999.0,26.0
186.0,target,True,7.0,3.0,10.0,5.0,3.0,7.0,7.0,5.0,7.0,9.0,9.0,4.0
186.0,target,False,5.0,5.0,5.0,5.0,82.0,999.0,999.0,9.0,295.0,899.0,999.0,27.0
187.0,train,True,9.0,3.0,10.0,14.0,3.0,7.0,7.0,14.0,5.0,11.0,9.0,4.0
187.0,train,False,24.0,27.0,170.0,17.0,999.0,999.0,999.0,19.0,27.0,999.0,999.0,999.0
187.0,target,True,9.0,3.0,10.0,14.0,3.0,7.0,7.0,14.0,5.0,11.0,9.0,4.0
187.0,target,False,24.0,27.0,166.0,162.0,999.0,999.0,999.0,24.0,28.0,999.0,999.0,999.0
188.0,train,True,3.0,3.0,3.0,3.0,3.0,7.0,5.0,8.0,5.0,9.0,9.0,4.0
188.0,train,False,7.0,856.0,3.0,3.0,999.0,999.0,999.0,9.0,999.0,999.0,999.0,999.0
188.0,target,True,3.0,3.0,3.0,3.0,3.0,7.0,5.0,8.0,5.0,9.0,9.0,4.0
188.0,target,False,7.0,7.0,3.0,3.0,999.0,83.0,999.0,11.0,670.0,999.0,999.0,999.0
