activation,advantage,batch_norm,batch_size,cnnfilter,cnnsize,details,experiment,exploration,gamma,hidden_size,layers,max_steps,nconv,optimizer,optimizer_lr,reply_size,rwrdschem,seed,svision,tau,totalsteps,tr_AR,tr_AS,tr_RM,tr_RMD,tr_SM,tr_SMD,tr_TR,tr_TS,tr_TT,tr_count,tr_s,train_repeat,ts_AR,ts_AS,ts_RM,ts_RMD,ts_SM,ts_SMD,ts_TR,ts_TS,ts_TT,ts_count,ts_s,vanish
relu,naive,False,10,,,n,1,0.1,0.99,100,1,1000,,adam,,100000,"[-10, 1000, -0.1]",1337,180,0.001,1000000,993.2077025110916,22.869688514842423,996.2139071081959,999.2,13.331520290086921,8.0,43429000,1000000,6137,43726,0.995494671362576,1,925.8618797164418,75.93254058998399,982.6199893390193,999.1,24.54637526652452,9.0,4048794,332053,1642,4373,0.9334552938486164,0.75
relu,naive,False,10,,,n,2,0.1,0.99,100,1,1000,,adam,,100000,"[-10, 1000, -0.1]",4917,180,0.001,1000000,962.563699073076,71.85528490335561,942.9211281708946,999.0,83.4722963951936,10.0,13395999,1000010,6372,13917,0.9697492275634116,1,758.8915229885057,227.17097701149424,819.4443333333337,998.9,172.22333333333333,11.0,1056377,316222,1506,1392,0.7816091954022989,0.75
tanh,naive,False,10,,,n,3,0.1,0.99,100,1,1000,,adam,,100000,"[-10, 1000, -0.1]",1337,180,0.001,1000000,964.8347281806032,70.33877206554611,878.3308823529413,998.8,167.225935828877,12.0,13718985,1000147,5244,14219,0.9718686264856882,1,784.6406469760901,205.62658227848098,727.7546666666672,998.7,255.78666666666663,13.0,1115759,292401,1418,1422,0.8052039381153305,0.75
tanh,naive,False,10,,,n,4,0.1,0.99,100,1,1000,,adam,,100000,"[-10, 1000, -0.1]",4917,180,0.001,1000000,961.6254888938086,73.80473765773743,895.6194409937891,998.7,155.60683229813662,13.0,13030987,1000128,5193,13551,0.9690059774186408,1,766.9535398230089,221.3163716814159,727.5253086419757,998.65,255.61111111111111,13.5,1039989,300105,1430,1356,0.7890855457227138,0.75
relu,avg,False,10,,,n,5,0.1,0.99,100,1,1000,,adam,,100000,"[-10, 1000, -0.1]",1337,180,0.001,1000000,977.5314966348717,48.4390161235656,989.1545500608023,999.2,25.357620591811923,8.0,20188958,1000411,5901,20653,0.9823754418244324,1,837.7671829622459,155.72458857696031,944.4617408906884,999.0,59.431174089068826,10.0,1730827,321727,1562,2066,0.8533397870280736,0.75
relu,avg,False,10,,,n,6,0.1,0.99,100,1,1000,,adam,,100000,"[-10, 1000, -0.1]",4917,180,0.001,1000000,982.5852740434332,41.36525336091003,993.5010002190262,999.1,18.2644374680587,9.0,23753999,1000005,6580,24175,0.9867218200620476,1,863.0297766749379,133.14226633581472,966.8805981035742,998.9,39.436177972283005,11.0,2086806,321938,1574,2418,0.8763440860215054,0.75
tanh,avg,False,10,,,n,7,0.1,0.99,100,1,1000,,adam,,100000,"[-10, 1000, -0.1]",1337,180,0.001,1000000,983.420551025202,33.57508641229571,985.3903497122624,999.2,27.68127490039841,8.0,29304949,1000504,5184,29799,0.9867780798013356,1,914.8835570469797,86.06241610738255,944.2980088495576,999.0,59.23230088495576,10.0,2726353,256466,1283,2980,0.923489932885906,0.75
tanh,avg,False,10,,,n,8,0.1,0.99,100,1,1000,,adam,,100000,"[-10, 1000, -0.1]",4917,180,0.001,1000000,929.8698035632707,114.27535404294198,726.0210106382982,998.1,332.875,19.0,8141940,1000595,5244,8756,0.9412973960712654,1,697.7123287671233,283.1472602739726,521.7092105263165,998.15,440.8026315789474,18.5,611196,248037,1184,876,0.726027397260274,0.75
relu,max,False,10,,,n,9,0.1,0.99,100,1,1000,,adam,,100000,"[-10, 1000, -0.1]",1337,180,0.001,1000000,920.3549922799796,128.66778178075143,884.1596377749031,998.9,162.28460543337644,11.0,7152999,1000006,6169,7772,0.9332218219248584,1,665.474293059126,311.82647814910024,689.0108974358976,998.8,289.3782051282052,12.0,517739,242601,925,778,0.6966580976863753,0.75
relu,max,False,10,,,n,10,0.1,0.99,100,1,1000,,adam,,100000,"[-10, 1000, -0.1]",4917,180,0.001,1000000,962.1942995388221,75.64459061011567,972.6258688097307,998.9,54.366854908774975,11.0,12726944,1000551,5803,13227,0.9697588266424736,1,772.8624338624338,215.4361300075585,915.3737527114968,998.8,87.04338394793926,12.0,1022497,285022,1095,1323,0.7944066515495087,0.75
