experiment,reply_size,layers,tau,optimizer,advantage,max_steps,activation,batch_size,totalsteps,exploration,vanish,gamma,hidden_size,train_repeat,batch_norm,seed,rwrdschem,svision,nconv,cnnfilter,cnnsize,optimizer_lr,details,tr_count,tr_TR,tr_TT,tr_TS,ts_count,ts_TR,ts_TT,ts_TS,tr_s,ts_s,tr_AR,tr_AS,ts_AR,ts_AS,tr_SMD,tr_SM,tr_RMD,tr_RM,ts_SMD,ts_SM,ts_RMD,ts_RM
796,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,9111,"[0.0, 1000.0, -0.1]",180,2,"[32, 8]","[3, 3]",0.001,CNN subordinate only,2698,821984,469829,2000157,270,-8805,1083,258052,0.3787991104521868,0.06296296296296296,304.6641957005189,741.3480355819125,-32.611111111111114,955.7481481481482,1000.0,904.1696750902527,-99.9999999999986,75.64801444043437,1000.0,978.5535714285714,-99.9999999999986,-62.14107142857007
795,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,6654,"[0.0, 1000.0, -0.1]",180,2,"[32, 8]","[3, 3]",0.001,CNN subordinate only,2913,1094919,470456,2000803,292,915,1230,270847,0.44455887401304495,0.0958904109589041,375.8733264675592,686.853072433917,3.1335616438356166,927.5582191780821,1000.0,889.4511545293072,-99.9999999999986,83.34618117229243,1000.0,954.0175438596491,-99.9999999999986,-25.226315789472395
794,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,5423,"[0.0, 1000.0, -0.1]",180,2,"[32, 8]","[3, 3]",0.001,CNN subordinate only,2446,744523,516952,1784762,244,-746,1338,227462,0.3773507767784137,0.09016393442622951,304.38389206868356,729.6655764513491,-3.057377049180328,932.2213114754098,1000.0,904.0263157894736,-99.9999999999986,47.249190283401994,1000.0,902.4489795918367,-99.9999999999986,32.204081632654265
798,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,1337,"[0.0, 1000.0, -0.1]",180,2,"[32, 8]","[3, 3]",0.001,CNN subordinate only,2310,720295,516824,1697043,231,1397,1377,216023,0.3852813852813853,0.09956709956709957,311.81601731601734,734.6506493506494,6.0476190476190474,935.1645021645022,1000.0,927.2729257641921,-99.9999999999986,33.910262008734826,1000.0,964.9130434782609,-99.9999999999986,-31.273913043476945
793,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,4444,"[0.0, 1000.0, -0.1]",180,2,"[32, 8]","[3, 3]",0.001,CNN subordinate only,2301,736571,516906,1684286,230,515,1376,214849,0.39330725771403735,0.09565217391304348,320.1090830073881,731.9800086918731,2.239130434782609,934.1260869565217,1000.0,888.2905263157895,-99.9999999999986,88.01305263158011,1000.0,946.3125,-99.9999999999986,9.53541666666794
792,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,1111,"[0.0, 1000.0, -0.1]",180,2,"[32, 8]","[3, 3]",0.001,CNN subordinate only,2293,708957,516884,1700423,229,-9055,1403,220555,0.3833406018316616,0.056768558951965066,309.18316615787177,741.5713039686001,-39.54148471615721,963.1222707423581,1000.0,921.8073593073593,-99.9999999999986,35.524891774892986,1000.0,1000.0,-99.9999999999986,-99.99999999999854
797,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,1122,"[0.0, 1000.0, -0.1]",180,2,"[32, 8]","[3, 3]",0.001,CNN subordinate only,2442,764328,516809,1796712,244,-1895,1435,228952,0.38656838656838655,0.0860655737704918,312.99262899262897,735.7542997542997,-7.766393442622951,938.327868852459,1000.0,919.19836400818,-99.9999999999986,49.184458077710794,1000.0,935.8571428571429,-99.9999999999986,-11.953061224488508
806,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,1111,"[0.0, 1000.0, -0.1]",180,2,"[32, 8]","[3, 3]",0.001,CNN subordinate only,104088,103851999,95454,2000003,10409,10333127,814,218727,0.999654138805626,0.9948121817657796,997.7326781185151,19.21453962032127,992.7108271687962,21.013257757709674,10.0,11.395018118006336,999.0,998.8604981881995,9.0,10.544543176122124,999.1,998.9455456823878
821,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,4444,"[0.0, 1000.0, -0.1]",180,1,[32],[3],0.001,CNN subordinate only,2661,769927,300762,2000724,267,2154,1055,248457,0.36452461480646375,0.10112359550561797,289.33746711762495,751.869222096956,8.067415730337078,930.5505617977528,1000.0,901.2432432432432,-99.9999999999986,64.83063063063182,1000.0,964.4912280701755,-99.9999999999986,-43.81754385964781
817,100000,1,0.001,adam,max,1000,tanh,32,2000000,1.0,0.75,0.99,100,1,False,9111,"[0.0, 1000.0, -0.1]",180,1,[32],[5],0.001,CNN subordinate only,5335,3787923,274504,2000763,534,241814,1263,291854,0.7475164011246486,0.5074906367041199,710.0136832239925,375.02586691658854,452.8352059925094,546.5430711610487,1000.0,905.878842676311,-99.9999999999986,63.119168173599725,1000.0,938.6428571428571,-99.9999999999986,13.27857142857268
